index,desc
1-unit2,"A line in the xy-plane passes through the points (3, 0) and (5, 6)."
2-unit2,"The points (3, 0) and (5, 6) are shown on the line."
3-unit2,"(5,6) is 6 units above and 2 units to the right of (3,0)."
4-unit2,"Two lines are graphed in the xy plane. One line passes through the points (-4, 4), (-2, -2), and (-1, -5). The other line passes through the points (-2, -2) and (1, 2)."
5-unit2,"The two lines intersect at (-2, -2). The point of intersection is highlighted and labeled."
6-unit2,"A solid line in the xy plane passes through the points (-2, -1) and (0, 2). The line divides the plane into two halves. The half below the line is shaded."
7-unit2,"Two lines are graphed in the xy plane. One line passes through the points (1, -3) and (2, 1). The other line passes through the points (-2, -3), (0, -1), and (2, 1)."
8-unit2,"A solid line in the xy plane passes through the points (-3, 1), (0, 2), and (3, 3). The line divides the plane into two halves. The half above the line is shaded."
9-unit2,"Four points are added to the graph of the inequality. (-4, 1) is within the shaded area. (-2, 1), (0, 1), and (2, 2) are outside the shaded area."
10-unit2,"A line in the xy-plane passes through the points (1, 2) and (4, 4)."
11-unit2,"Two lines are graphed in the xy plane. One line passes through the points (-3, 0), (0, -3), and (2, -5). The other line passes through the points (-1, -3), (0, 0), and (1, 3). The two lines intersect at (-0.75, -2.25) and divides the plane into 4 sections. The top section is shaded."
12-unit2,"Two lines are graphed in the xy plane. One line passes through the points (-3, 2), (0, 1), and (3, 0). The other line passes through the points (-3, 2), and (-2, -3)."
1-unit3,"This chart presents a graph in the 'd' 'f' plane. The horizontal axis is distance in kilometers and has tick marks from 0 to 900 in increments of 100.  The vertical axis is fuel in liters and has tick marks from 0 to 500 in increments of 50. The graph shows a line that starts at the point zero comma 500, proceeds downward to the right through the points 250 comma 350 and 500 comma 200, and hits the 'd' axis between 800 and 850."
2-unit3,"A histogram is titled, ""Size of Each House on Elm Street"". The histogram represents the number of houses with different areas in square meters. The areas range from 50 to 300, with class of width 50. The following list provides the number of houses with different areas in square meters: 50 to 99 square meters, 4 houses; 100 to 149 square meters, 7 houses; 150 to 199 square meters, 11 houses; 200 to 249 square meters, 4 houses, 250 to 299 square meters, 1 house."
3-unit3,"A graph titled ""Riving School District Enrollment"" plots the number of students versus year for the period from 2015 to 2019. The line graph consists of a series of end-to-end line segments with the following estimated endpoints: (2015, 5400), (2016, 5700), (2017, 5800), (2018, 5600), (2019, 5500)."
4-unit3,"A bar graph represents the percent of students who voted for different mascots, as follows: kraken, 40 percent; leviathan, 10 percent; narwhal, 5 percent; shark, 45 percent; pink."
